"...1","country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region","AreaName","Value","Count","Denominator","Time period","Age","Sex","Area Type","area_type"
327,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2019,16.852,9.599,30.164,93,97,98,"Urban, Urban",383736,50.9142,-1.42965,1,"Southampton","South East","Southampton",94.3129,50,53015,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
328,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2019,16.852,9.599,30.164,93,97,98,"Urban, Urban",383736,50.9142,-1.42965,1,"Southampton","South East","Southampton",89.5865,25,27906,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
329,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2019,16.852,9.599,30.164,93,97,98,"Urban, Urban",383736,50.9142,-1.42965,1,"Southampton","South East","Southampton",99.5659,25,25109,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
330,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2013,21.016,15.011,31.27,96,97,98,"Urban",266998,50.90813,-1.3957835,1,"Southampton","South East","Southampton",94.3129,50,53015,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
331,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2013,21.016,15.011,31.27,96,97,98,"Urban",266998,50.90813,-1.3957835,1,"Southampton","South East","Southampton",89.5865,25,27906,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
332,"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2013,21.016,15.011,31.27,96,97,98,"Urban",266998,50.90813,-1.3957835,1,"Southampton","South East","Southampton",99.5659,25,25109,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
333,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2010,NA,10.791,16.327,NA,95,96,NA,341366,54.88361,-1.406878,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
334,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2010,NA,10.791,16.327,NA,95,96,NA,341366,54.88361,-1.406878,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
335,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2010,NA,10.791,16.327,NA,95,96,NA,341366,54.88361,-1.406878,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
336,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2013,NA,9.076,15.695,NA,91,84,"Urban",341366,54.88360667,-1.406885333,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
337,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2013,NA,9.076,15.695,NA,91,84,"Urban",341366,54.88360667,-1.406885333,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
338,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2013,NA,9.076,15.695,NA,91,84,"Urban",341366,54.88360667,-1.406885333,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
339,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2020,10.887,6.414,12.723,100,100,83,"Urban, Urban",341366,54.901,-1.4076345,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
340,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2020,10.887,6.414,12.723,100,100,83,"Urban, Urban",341366,54.901,-1.4076345,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
341,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2020,10.887,6.414,12.723,100,100,83,"Urban, Urban",341366,54.901,-1.4076345,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
342,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2014,NA,10.246,16.257,NA,77,88,"Urban",341366,54.8836,-1.4069,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
343,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2014,NA,10.246,16.257,NA,77,88,"Urban",341366,54.8836,-1.4069,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
344,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2014,NA,10.246,16.257,NA,77,88,"Urban",341366,54.8836,-1.4069,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
345,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2015,NA,7.104,19.474,NA,95,85,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
346,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2015,NA,7.104,19.474,NA,95,85,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
347,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2015,NA,7.104,19.474,NA,95,85,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
348,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2016,NA,8.026,19.067,NA,93,95,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
349,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2016,NA,8.026,19.067,NA,93,95,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
350,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2016,NA,8.026,19.067,NA,93,95,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
351,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2017,NA,7.181,17.926,NA,95,87,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
352,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2017,NA,7.181,17.926,NA,95,87,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
353,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2017,NA,7.181,17.926,NA,95,87,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
354,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2018,NA,8.435,17.166,NA,90,90,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
355,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2018,NA,8.435,17.166,NA,90,90,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
356,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2018,NA,8.435,17.166,NA,90,90,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
357,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2019,10.732,9.402,15.075,26,85,93,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",189.3092,110,58106,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
358,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2019,10.732,9.402,15.075,26,85,93,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",256.533,75,29236,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
359,"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2019,10.732,9.402,15.075,26,85,93,"Urban, Urban",341366,54.901,-1.40765,1,"Sunderland","North East","Sunderland",103.9141,30,28870,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
360,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2010,24.201,NA,29.199,NA,NA,85,NA,149056,51.47707,0.317969,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
361,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2010,24.201,NA,29.199,NA,NA,85,NA,149056,51.47707,0.317969,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
362,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2010,24.201,NA,29.199,NA,NA,85,NA,149056,51.47707,0.317969,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
363,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2020,17.642,11.557,20.241,88,97,99,"Urban, Urban",175531,51.4976185,0.3787585,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
364,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2020,17.642,11.557,20.241,88,97,99,"Urban, Urban",175531,51.4976185,0.3787585,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
365,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2020,17.642,11.557,20.241,88,97,99,"Urban, Urban",175531,51.4976185,0.3787585,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
366,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2014,19.24,14.229,26.352,95,92,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
367,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2014,19.24,14.229,26.352,95,92,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
368,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2014,19.24,14.229,26.352,95,92,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
369,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2015,17.101,9.844,24.614,82,97,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
370,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2015,17.101,9.844,24.614,82,97,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
371,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2015,17.101,9.844,24.614,82,97,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
372,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2016,18.663,13.408,27.386,89,91,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
373,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2016,18.663,13.408,27.386,89,91,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
374,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2016,18.663,13.408,27.386,89,91,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
375,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2017,18.369,11.053,28.249,92,90,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
376,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2017,18.369,11.053,28.249,92,90,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
377,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2017,18.369,11.053,28.249,92,90,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
378,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2018,18.586,10.059,26.158,87,98,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
379,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2018,18.586,10.059,26.158,87,98,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
380,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2018,18.586,10.059,26.158,87,98,98,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
381,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2019,18.871,11.541,24.782,97,91,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
382,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2019,18.871,11.541,24.782,97,91,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
383,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2019,18.871,11.541,24.782,97,91,99,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
384,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2013,21.743,14.238,27.73,87,87,97,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",85.034,40,47040,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
385,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2013,21.743,14.238,27.73,87,87,97,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",119.8801,30,25025,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
386,"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2013,21.743,14.238,27.73,87,87,97,"Urban, Urban",171460,51.49765,0.37875,1,"Thurrock","East of England","Thurrock",68.1354,15,22015,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
387,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2010,NA,NA,26.171,NA,NA,99,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",95.9285,70,72971,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
388,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2010,NA,NA,26.171,NA,NA,99,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",133.6327,50,37416,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
389,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2010,NA,NA,26.171,NA,NA,99,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",56.2509,20,35555,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
390,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2013,NA,12.809,24.568,NA,NA,98,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",95.9285,70,72971,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
391,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2013,NA,12.809,24.568,NA,NA,98,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",133.6327,50,37416,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
392,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2013,NA,12.809,24.568,NA,NA,98,NA,305645,53.54914,-2.638139,1,"Wigan","North West","Wigan",56.2509,20,35555,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
393,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2020,13.052,7.984,15.412,100,100,100,"Urban",330712,53.54914,-2.638139,1,"Wigan","North West","Wigan",95.9285,70,72971,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
394,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2020,13.052,7.984,15.412,100,100,100,"Urban",330712,53.54914,-2.638139,1,"Wigan","North West","Wigan",133.6327,50,37416,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
395,"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2020,13.052,7.984,15.412,100,100,100,"Urban",330712,53.54914,-2.638139,1,"Wigan","North West","Wigan",56.2509,20,35555,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
396,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2010,19.164,13.589,48.57,NA,98,94,NA,192131,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
397,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2010,19.164,13.589,48.57,NA,98,94,NA,192131,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
398,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2010,19.164,13.589,48.57,NA,98,94,NA,192131,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
399,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2014,16.706,12.998,26.479,97,98,94,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
400,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2014,16.706,12.998,26.479,97,98,94,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
401,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2014,16.706,12.998,26.479,97,98,94,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
402,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2015,16.507,11.107,27.346,96,92,96,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
403,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2015,16.507,11.107,27.346,96,92,96,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
404,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2015,16.507,11.107,27.346,96,92,96,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
405,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2016,15.639,10.877,23.786,94,89,66,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
406,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2016,15.639,10.877,23.786,94,89,66,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
407,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2016,15.639,10.877,23.786,94,89,66,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
408,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2017,14.848,10.078,21.309,88,86,92,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
409,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2017,14.848,10.078,21.309,88,86,92,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
410,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2017,14.848,10.078,21.309,88,86,92,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
411,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2018,16.1,10.619,20.649,94,94,97,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
412,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2018,16.1,10.619,20.649,94,94,97,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
413,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2018,16.1,10.619,20.649,94,94,97,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
414,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2019,17.922,10.872,20.391,96,81,98,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
415,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2019,17.922,10.872,20.391,96,81,98,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
416,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2019,17.922,10.872,20.391,96,81,98,"Urban, Urban",209028,53.9597,-1.0812,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
417,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2020,17.22,8.119,16.745,96,94,80,"Urban, Urban",211012,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
418,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2020,17.22,8.119,16.745,96,94,80,"Urban, Urban",211012,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
419,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2020,17.22,8.119,16.745,96,94,80,"Urban, Urban",211012,53.959701,-1.0811875,1,"York","Yorkshire and The Humber","York",129.5874,25,19292,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
420,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2013,15.261,12.38,27.229,91,95,98,"Urban, Urban",196959,53.95858471,-1.080430143,1,"York","Yorkshire and The Humber","York",106.8433,40,37438,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
421,"United Kingdom of Great Britain and Northern Ireland","York/GBR",2013,15.261,12.38,27.229,91,95,98,"Urban, Urban",196959,53.95858471,-1.080430143,1,"York","Yorkshire and The Humber","York",110.2171,20,18146,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
